,City,Club,State,URL
388,Rapid City,Western Dakota Gem & Mineral Society,South,http://www.wdgms.org/
389,Knoxville,Knoxville Gem & Mineral Society,Tennessee,http://www.knoxrocks.org/
390,Memphis,Memphis Archaeological & Geological Society,Tennessee,http://www.memphisgeology.org/
391,Nashville,Middle Tennessee Rockhounds,Tennessee,http://www.rockhound.org/
392,"Murfreesboro, Donelson, Tullahoma",Mid-Tennessee Gem and Mineral Society,Tennessee,http://www.mtgms.org/
393,Arlington,Arlington Gem and Mineral Club,Texas,http://www.agemclub.org/
394,Austin,Austin Gem and Mineral Society,Texas,http://www.austingemandmineral.org/index.html
395,Abilene,Central Texas Gem & Mineral Society,Texas,http://rockclub.txol.net/
396,Alpine,Chihuahuan Desert Gem and Mineral Club,Texas,http://www.cdgmc.org/
397,Houston,Clear Lake Gem and Mineral Society,Texas,http://www.clgms.org/
398,Fort Worth,"Cowtown Gem, Mineral & Glass Society",Texas,http://cera-fw.org/gem-mineral-glass/
399,Dallas,Dallas Gem and Mineral Society,Texas,http://www.dallasgemandmineral.org/
400,Dallas,Dallas Paleontological Society,Texas,https://dps.wildapricot.org/
401,Tyler,East Texas Gem and Mineral Society,Texas,http://www.etgms.com/
402,El Paso,"El Paso Mineral and Gem Society, Inc.",Texas,http://www.epmgs.com/
403,Fort Worth,Fort Worth Gem and Mineral Club,Texas,http://www.fortworthgemandmineralclub.org/
404,Fredericksburg,Fredericksburg Rockhounds,Texas,http://fredericksburgrockhounds.org/
405,San Antonio,Geological Society of San Antonio,Texas,http://www.geosa.org/
406,Amarillo,"Golden Spread Gem, Mineral and Treasure Society",Texas,http://www.amarillotreasure.com/
407,Corpus Christi,Gulf Coast Gem & Mineral Society,Texas,http://www.gcgms.org/
408,Houston,Houston Gem and Mineral Society,Texas,http://www.hgms.org/
409,Lubbock,Lubbock Gem and Mineral Society,Texas,http://www.lubbockgemandmineral.org/
410,Midland,"Midland Gem and Mineral Society, Inc.",Texas,https://www.facebook.com/midlandgemandmineral/
411,Dallas,Oak Cliff Gem and Mineral Society,Texas,http://www.ocgemandmineral.com/
412,Austin,Paleontological Society of Austin,Texas,http://www.austinpaleo.org/
413,Jasper,Pine Country Gem & Mineral Society,Texas,http://www.pinecountry-gms.org/
414,Huntsville,Piney Woods Gem & Mineral Society,Texas,http://www.pwgms.org/
415,Dallas,Pleasant Oaks Gem & Mineral Club,Texas,http://www.pogmc.org/
416,Rollin' Rock Club Of Texas And Any Other State Or Country Of The World and Outer Space,"Rollin' Rock Club, Inc.",Texas,https://sites.google.com/site/rollinrockclub/
417,San Antonio,South Texas Geological Society,Texas,http://www.stgs.org/
418,San Antonio,Southwest Gem and Mineral Society,Texas,http://www.swgemandmineral.org/
419,Houston,Texas Faceters Guild,Texas,http://texasfacetersguild.org/
420,Temple,"Tri-City Gem and Mineral Society, Inc.",Texas,https://www.facebook.com/midlandgemandmineral/
421,Waco,Waco Gem and Mineral Club,Texas,http://www.wacogemandmineral.org/
422,Georgetown,Williamson County Gem and Mineral Society,Texas,http://www.wcgms.org/
423,Decatur,"Wise County Fossil, Rock and Mineral Society",Texas,http://wisecofossilrockandmineralsoc.weebly.com/
424,Ogden,Beehive Rock and Gem Club,Utah,http://www.beehiverockandgem.com/
425,Smithfield,Cache Rock and Gem Club,Utah,http://cacherockgemclub.weebly.com/
426,Ogden,Golden Spike Gem & Mineral Society,Utah,http://goldenspikegem.org/
427,Salt Lake City,Mineral Collectors of Utah,Utah,http://m-c-u.org/
428,Moab,Moab Rock Club,Utah,https://www.facebook.com/Moab-Rock-Club-1508131859497762/
429,Sandy,Rockhounders Outreach for Community Knowledge,Utah,http://www.rockhoundersock.com/
430,Provo,Timpanogos Gem & Mineral Society,Utah,http://timprocks.weebly.com/
431,Tooele,Tooele Gem & Mineral Society,Utah,https://www.facebook.com/Tooele-Gem-Mineral-Society-1742342656045404/
432,Salt Lake City,Wasatch Gem Society,Utah,http://www.wasatchgemsociety.com/
433,Burlington,Burlington Gem and Mineral Club,Vermont,http://www.burlingtongemandmineralclub.org/
434,Rutland,Rutland Rock & Mineral Club,Vermont,http://www.rutlandrockmineralclub.50webs.com/
435,Manassas,"Gem and Mineral Hunters, Inc.",Virginia,http://www.gmhonline.org/
436,Lynchburg,Gem and Mineral Society of Lynchburg,Virginia,http://www.lynchburgrockclub.org/
437,Hampton,Gem and Mineral Society of the Virginia Peninsula,Virginia,http://www.gmsvp.org/
438,Arlington,"Northern Virginia Mineral Club, Inc.",Virginia,http://www.novamineralclub.org/
439,Richmond,Richmond Gem & Mineral Society,Virginia,http://www.rgms-va.info/
440,Roanoke,Roanoke Valley Mineral & Gem Society,Virginia,https://www.facebook.com/RVMGS/
441,Waynesboro,Shenandoah Valley Gem & Mineral Society,Virginia,http://www.shenandoahvalleyrockclub.org/
442,Virginia Beach,Tidewater Gem & Mineral Society,Virginia,http://tgms.weebly.com/
443,Bellevue,"Bellevue Rock Club, Inc.",Washington,http://www.bellevuerockclub.org/
444,Kent,Cascade Mineralogical Society Inc,Washington,http://www.cascademineralogicalsociety.org/
445,Port Angeles,Clallam County Gem & Mineral Association,Washington,http://www.olympicrocks.com/
446,Darrington,Darrington Rock & Gem Club,Washington,https://www.facebook.com/DarringtonRGC/
447,Kirkland,East KingCo Rock Club,Washington,http://www.eastkingco.org/
448,Everett,Everett Rock & Gem Club,Washington,http://www.everettrockclub.com/
449,Wenatchee,Ginkgo Mineral Society,Washington,http://wenatcheerockclub.org/
450,Bremerton,Kitsap Mineral and Gem Societ,Washington,http://www.kmgs.org/
451,Kennewick,"Lakeside Gem & Mineral Club, Inc.",Washington,http://www.lakesidegemandmineralclub.com/
452,Edmonds,Maplewood Rock & Gem Community Club,Washington,http://www.maplewoodrockclub.com/
453,Walla Walla,Marcus Whitman Gem and Mineral Society,Washington,https://www.sites.google.com/site/mwgemandmineral/
454,Marysville,"Marysville Rock & Gem Club, Inc.",Washington,https://sites.google.com/site/marysvillerockngemclub/
455,Bellingham,Mount Baker Rock And Gem Club,Washington,http://mtbakerrockclub.org/
456,Kent,North American Miners Association,Washington,http://www.namaminers.org/
457,Mount Vernon,North Puget Sound Facetors Guild,Washington,http://www.facetguild.com/
458,Puget Sound,Northwest Paleontological Association,Washington,http://nwpaleo.org/
459,Arden,Panorama Gem & Mineral Club,Washington,http://panoramagem.com/
460,Puyallup,Puyallup Valley Gem & Mineral Club,Washington,https://www.facebook.com/PuyallupValleyGemClub
461,Mt. Vernon,Skagit Rock and Gem Club,Washington,https://www.skagitrockandgem.com/
462,Spokane Valley,Spokane Rock Rollers Club,Washington,http://www.rockrollers.org/WP/
463,Seattle,North Seattle Lapidary & Mineral Club,Washington,http://www.northseattlerockclub.org
464,Olympia,Washington Agate and Mineral Society,Washington,https://wamsolympia.wordpress.com
465,Seattle,West Seattle Rock Club,Washington,http://www.westseattlerockclub.org/
466,Yakima,Yakima Rock & Mineral Club,Washington,http://www.yakimarockclub.com/
467,Charleston,Kanawha Rock and Gem Club,West,http://www.kanawharockandgemclub.org/
468,Morgantown,Prehistoric West Virginia,West,http://prehistoricplanet.com/wv/
469,Clarksburg,West Virginia Fossil Club Inc,West,http://www.westvirginiafossilclub.com/
470,Monroe,"Badger Lapidary & Geological Society, Inc.",Wisconsin,http://www.badgerrockclub.org/
471,La Crosse,Coulee Rock Club of La Crosse,Wisconsin,https://www.facebook.com/pages/The-Coulee-Rock-Club/182345351787782
472,Marshfield & Stevens Point,Heart of Wisconsin Gem & Mineral Society,Wisconsin,https://www.heartofwisconsinrocks.com/
473,Pewaukee,Kettle Moraine Geological Society,Wisconsin,http://www.kmgsrocks.com/
474,Minocqua,Lakeland Gem Club,Wisconsin,http://www.lakelandgemclub.com/
475,Madison,Madison Gem and Mineral Club,Wisconsin,http://www.madisonrockclub.org/
476,Cameron,Northwest Wisconsin Gem & Mineral Society,Wisconsin,http://www.cameronamericanlegion.org/rockclub.html
477,Oshkosh,Oshkosh Earth Science Club,Wisconsin,https://sites.google.com/site/oshkoshearthscienceclub/home
478,Racine,"Racine Geological Society, Inc",Wisconsin,http://rgs-wi.tripod.com/
479,Menasha,Weis'n'Miners Geology Club,Wisconsin,http://www.weismuseum.org/geology-club.html
480,West Allis,Wisconsin Geological Society,Wisconsin,http://www.wisgeologicalsociety.com/
481,Cody,Cody 59ers Rock Club,Wyoming,http://www.cody59ers.com/
482,Riverton,Riverton Mineral and Gem Society,Wyoming,http://www.rivertonmgs.com/
483,Cody,Wyoming State Mineral and Gem Society,Wyoming,http://wymineralandgemsociety.org
